SampleID	Stage	Reads
DC3-1_S43_L001	Input	172985
DC3-1_S43_L001	No Dimers	167733
DC3-1_S43_L001	Amplicons	137558
DC3-1_S43_L001	OutputDada2	134295
DC3-1_S43_L001	OutputPostprocessing	119605
Dd2-1_S27_L001	Input	288156
Dd2-1_S27_L001	No Dimers	263284
Dd2-1_S27_L001	Amplicons	226442
Dd2-1_S27_L001	OutputDada2	221312
Dd2-1_S27_L001	OutputPostprocessing	210167
NTC1_S4_L001	Input	10743
NTC1_S4_L001	No Dimers	643
NTC1_S4_L001	Amplicons	6
NTC1_S4_L001	OutputDada2	0
NTC1_S4_L001	OutputPostprocessing	0
SN23DBL002_S28_L001	Input	53506
SN23DBL002_S28_L001	No Dimers	38481
SN23DBL002_S28_L001	Amplicons	30612
SN23DBL002_S28_L001	OutputDada2	29811
SN23DBL002_S28_L001	OutputPostprocessing	28154
SN23DBL012_S32_L001	Input	282341
SN23DBL012_S32_L001	No Dimers	270939
SN23DBL012_S32_L001	Amplicons	234348
SN23DBL012_S32_L001	OutputDada2	228970
SN23DBL012_S32_L001	OutputPostprocessing	214307
SN23DBL014_S33_L001	Input	311115
SN23DBL014_S33_L001	No Dimers	298864
SN23DBL014_S33_L001	Amplicons	246289
SN23DBL014_S33_L001	OutputDada2	240853
SN23DBL014_S33_L001	OutputPostprocessing	226731
SN23DBL017_S37_L001	Input	296211
SN23DBL017_S37_L001	No Dimers	282874
SN23DBL017_S37_L001	Amplicons	238447
SN23DBL017_S37_L001	OutputDada2	232702
SN23DBL017_S37_L001	OutputPostprocessing	222544
SN23DBL025_S40_L001	Input	364159
SN23DBL025_S40_L001	No Dimers	356104
SN23DBL025_S40_L001	Amplicons	300630
SN23DBL025_S40_L001	OutputDada2	293404
SN23DBL025_S40_L001	OutputPostprocessing	283124
SN23DBL029_S36_L001	Input	383423
SN23DBL029_S36_L001	No Dimers	372757
SN23DBL029_S36_L001	Amplicons	319358
SN23DBL029_S36_L001	OutputDada2	311174
SN23DBL029_S36_L001	OutputPostprocessing	299409
SN23DBL034_S29_L001	Input	347401
SN23DBL034_S29_L001	No Dimers	322353
SN23DBL034_S29_L001	Amplicons	275621
SN23DBL034_S29_L001	OutputDada2	269208
SN23DBL034_S29_L001	OutputPostprocessing	252366
SN23DBL043_S31_L001	Input	283852
SN23DBL043_S31_L001	No Dimers	267683
SN23DBL043_S31_L001	Amplicons	228396
SN23DBL043_S31_L001	OutputDada2	223106
SN23DBL043_S31_L001	OutputPostprocessing	207737
SN23DBL044_S35_L001	Input	269401
SN23DBL044_S35_L001	No Dimers	258723
SN23DBL044_S35_L001	Amplicons	222456
SN23DBL044_S35_L001	OutputDada2	210267
SN23DBL044_S35_L001	OutputPostprocessing	192687
SN23DBL045_S44_L001	Input	430097
SN23DBL045_S44_L001	No Dimers	414416
