SampleID	Stage	Reads
Dd2-11_S35_L001	Input	899800
Dd2-11_S35_L001	No Dimers	884823
Dd2-11_S35_L001	Amplicons	884395
Dd2-11_S35_L001	OutputDada2	664066
Dd2-11_S35_L001	OutputPostprocessing	655628
NTC11-1_S1_L001	Input	86561
NTC11-1_S1_L001	No Dimers	3716
NTC11-1_S1_L001	Amplicons	2691
NTC11-1_S1_L001	OutputDada2	1
NTC11-1_S1_L001	OutputPostprocessing	1
NTC11-2_S48_L001	Input	183926
NTC11-2_S48_L001	No Dimers	7469
NTC11-2_S48_L001	Amplicons	5366
NTC11-2_S48_L001	OutputDada2	158
NTC11-2_S48_L001	OutputPostprocessing	156
SNG23SES3DM153_S43_L001	Input	66836
SNG23SES3DM153_S43_L001	No Dimers	4257
SNG23SES3DM153_S43_L001	Amplicons	3667
SNG23SES3DM153_S43_L001	OutputDada2	1529
SNG23SES3DM153_S43_L001	OutputPostprocessing	1515
SNG23SES3DM154_S22_L001	Input	447473
SNG23SES3DM154_S22_L001	No Dimers	340915
SNG23SES3DM154_S22_L001	Amplicons	340173
SNG23SES3DM154_S22_L001	OutputDada2	254687
SNG23SES3DM154_S22_L001	OutputPostprocessing	253279
SNG23SES3DM157_S36_L001	Input	754778
SNG23SES3DM157_S36_L001	No Dimers	710793
SNG23SES3DM157_S36_L001	Amplicons	710217
SNG23SES3DM157_S36_L001	OutputDada2	541754
SNG23SES3DM157_S36_L001	OutputPostprocessing	530996
SNG23SES3DM158_S20_L001	Input	398362
SNG23SES3DM158_S20_L001	No Dimers	298651
SNG23SES3DM158_S20_L001	Amplicons	297777
SNG23SES3DM158_S20_L001	OutputDada2	227305
SNG23SES3DM158_S20_L001	OutputPostprocessing	225242
SNG23SES3DM161_S45_L001	Input	45616
SNG23SES3DM161_S45_L001	No Dimers	1215
SNG23SES3DM161_S45_L001	Amplicons	946
SNG23SES3DM161_S45_L001	OutputDada2	181
SNG23SES3DM161_S45_L001	OutputPostprocessing	180
SNG23SES3DM165_S3_L001	Input	199154
SNG23SES3DM165_S3_L001	No Dimers	5762
SNG23SES3DM165_S3_L001	Amplicons	4193
SNG23SES3DM165_S3_L001	OutputDada2	339
SNG23SES3DM165_S3_L001	OutputPostprocessing	337
SNG23SES3DM166_S18_L001	Input	367747
SNG23SES3DM166_S18_L001	No Dimers	331288
SNG23SES3DM166_S18_L001	Amplicons	330925
SNG23SES3DM166_S18_L001	OutputDada2	246039
SNG23SES3DM166_S18_L001	OutputPostprocessing	242589
SNG23SES3DM169_S6_L001	Input	452444
SNG23SES3DM169_S6_L001	No Dimers	221098
SNG23SES3DM169_S6_L001	Amplicons	219495
SNG23SES3DM169_S6_L001	OutputDada2	162853
SNG23SES3DM169_S6_L001	OutputPostprocessing	161662
SNG23SES3DM170_S27_L001	Input	395804
SNG23SES3DM170_S27_L001	No Dimers	297857
SNG23SES3DM170_S27_L001	Amplicons	296924
SNG23SES3DM170_S27_L001	OutputDada2	217047
SNG23SES3DM170_S27_L001	OutputPostprocessing	212810
SNG23SES3DM172_S2_L001	Input	494457
SNG23SES3DM172_S2_L001	No Dimers	318674
SNG23SES3DM172_S2_L001	Amplicons	317190
SNG23SES3DM172_S2_L001	OutputDada2	233960
SNG23SES3DM172_S2_L001	OutputPostprocessing	231850
SNG23SES3DM175_S29_L001	Input	21423
SNG23SES3DM175_S29_L001	No Dimers	979
SNG23SES3DM175_S29_L001	Amplicons	784
SNG23SES3DM175_S29_L001	OutputDada2	244
SNG23SES3DM175_S29_L001	OutputPostprocessing	241
SNG23SES3DM176_S9_L001	Input	166660
SNG23SES3DM176_S9_L001	No Dimers	131524
SNG23SES3DM176_S9_L001	Amplicons	131077
SNG23SES3DM176_S9_L001	OutputDada2	99489
SNG23SES3DM176_S9_L001	OutputPostprocessing	98244
SNG23SES3DM178_S15_L001	Input	65006
SNG23SES3DM178_S15_L001	No Dimers	2776
SNG23SES3DM178_S15_L001	Amplicons	2252
SNG23SES3DM178_S15_L001	OutputDada2	542
SNG23SES3DM178_S15_L001	OutputPostprocessing	541
SNG23SES3DM179_S16_L001	Input	131654
SNG23SES3DM179_S16_L001	No Dimers	75607
SNG23SES3DM179_S16_L001	Amplicons	74999
SNG23SES3DM179_S16_L001	OutputDada2	54112
SNG23SES3DM179_S16_L001	OutputPostprocessing	53452
SNG23SES3DM180_S17_L001	Input	188910
SNG23SES3DM180_S17_L001	No Dimers	152250
SNG23SES3DM180_S17_L001	Amplicons	151913
SNG23SES3DM180_S17_L001	OutputDada2	115578
SNG23SES3DM180_S17_L001	OutputPostprocessing	114765
SNG23SES3DM188_S26_L001	Input	109893
SNG23SES3DM188_S26_L001	No Dimers	17622
SNG23SES3DM188_S26_L001	Amplicons	16851
SNG23SES3DM188_S26_L001	OutputDada2	11317
SNG23SES3DM188_S26_L001	OutputPostprocessing	11089
SNG23SES3DM192_S32_L001	Input	308501
SNG23SES3DM192_S32_L001	No Dimers	234028
SNG23SES3DM192_S32_L001	Amplicons	233410
SNG23SES3DM192_S32_L001	OutputDada2	175323
SNG23SES3DM192_S32_L001	OutputPostprocessing	174222
SNG23SES3DM202_S40_L001	Input	657360
SNG23SES3DM202_S40_L001	No Dimers	307812
SNG23SES3DM202_S40_L001	Amplicons	303514
SNG23SES3DM202_S40_L001	OutputDada2	221794
SNG23SES3DM202_S40_L001	OutputPostprocessing	219491
SNG23SES3DM205_S39_L001	Input	503710
SNG23SES3DM205_S39_L001	No Dimers	417725
SNG23SES3DM205_S39_L001	Amplicons	416687
SNG23SES3DM205_S39_L001	OutputDada2	300892
SNG23SES3DM205_S39_L001	OutputPostprocessing	295949
SNG23SES3DM206_S14_L001	Input	79478
SNG23SES3DM206_S14_L001	No Dimers	32521
SNG23SES3DM206_S14_L001	Amplicons	32187
SNG23SES3DM206_S14_L001	OutputDada2	24031
SNG23SES3DM206_S14_L001	OutputPostprocessing	23997
SNG23SES3DM208_S4_L001	Input	517879
SNG23SES3DM208_S4_L001	No Dimers	73181
SNG23SES3DM208_S4_L001	Amplicons	69913
SNG23SES3DM208_S4_L001	OutputDada2	43527
SNG23SES3DM208_S4_L001	OutputPostprocessing	43130
SNG23SES3DM209_S25_L001	Input	254302
SNG23SES3DM209_S25_L001	No Dimers	15628
SNG23SES3DM209_S25_L001	Amplicons	14080
SNG23SES3DM209_S25_L001	OutputDada2	5626
SNG23SES3DM209_S25_L001	OutputPostprocessing	5572
SNG23SES3DM212_S24_L001	Input	198993
SNG23SES3DM212_S24_L001	No Dimers	67466
SNG23SES3DM212_S24_L001	Amplicons	66659
SNG23SES3DM212_S24_L001	OutputDada2	48532
SNG23SES3DM212_S24_L001	OutputPostprocessing	48143
SNG23SES3DM217_S8_L001	Input	816363
SNG23SES3DM217_S8_L001	No Dimers	391890
SNG23SES3DM217_S8_L001	Amplicons	388592
SNG23SES3DM217_S8_L001	OutputDada2	289026
SNG23SES3DM217_S8_L001	OutputPostprocessing	286951
SNG23SES3DM218_S31_L001	Input	137326
SNG23SES3DM218_S31_L001	No Dimers	74330
SNG23SES3DM218_S31_L001	Amplicons	73551
SNG23SES3DM218_S31_L001	OutputDada2	53022
SNG23SES3DM218_S31_L001	OutputPostprocessing	52285
SNG23SES3DM221_S33_L001	Input	210129
SNG23SES3DM221_S33_L001	No Dimers	198222
SNG23SES3DM221_S33_L001	Amplicons	198042
SNG23SES3DM221_S33_L001	OutputDada2	149792
SNG23SES3DM221_S33_L001	OutputPostprocessing	148721
SNG23SES3DM222_S5_L001	Input	74851
SNG23SES3DM222_S5_L001	No Dimers	2252
SNG23SES3DM222_S5_L001	Amplicons	1813
SNG23SES3DM222_S5_L001	OutputDada2	150
SNG23SES3DM222_S5_L001	OutputPostprocessing	146
SNG23SES3DM224_S37_L001	Input	25770
SNG23SES3DM224_S37_L001	No Dimers	865
SNG23SES3DM224_S37_L001	Amplicons	632
SNG23SES3DM224_S37_L001	OutputDada2	128
SNG23SES3DM224_S37_L001	OutputPostprocessing	127
SNG23SES3DM226_S47_L001	Input	446592
SNG23SES3DM226_S47_L001	No Dimers	420578
SNG23SES3DM226_S47_L001	Amplicons	420260
SNG23SES3DM226_S47_L001	OutputDada2	312814
SNG23SES3DM226_S47_L001	OutputPostprocessing	310357
SNG23SES3DM228_S28_L001	Input	670619
SNG23SES3DM228_S28_L001	No Dimers	544489
SNG23SES3DM228_S28_L001	Amplicons	543453
SNG23SES3DM228_S28_L001	OutputDada2	416725
SNG23SES3DM228_S28_L001	OutputPostprocessing	414220
SNG23SES3DM229_S19_L001	Input	305145
SNG23SES3DM229_S19_L001	No Dimers	259612
SNG23SES3DM229_S19_L001	Amplicons	258955
SNG23SES3DM229_S19_L001	OutputDada2	192807
SNG23SES3DM229_S19_L001	OutputPostprocessing	188840
SNG23SES3DM230_S10_L001	Input	443901
SNG23SES3DM230_S10_L001	No Dimers	373301
SNG23SES3DM230_S10_L001	Amplicons	372528
SNG23SES3DM230_S10_L001	OutputDada2	284749
SNG23SES3DM230_S10_L001	OutputPostprocessing	283009
SNG23SES3DM231_S11_L001	Input	701689
SNG23SES3DM231_S11_L001	No Dimers	484497
SNG23SES3DM231_S11_L001	Amplicons	482321
SNG23SES3DM231_S11_L001	OutputDada2	341597
SNG23SES3DM231_S11_L001	OutputPostprocessing	338563
SNG23SES3DM233_S12_L001	Input	416357
SNG23SES3DM233_S12_L001	No Dimers	379060
SNG23SES3DM233_S12_L001	Amplicons	378498
SNG23SES3DM233_S12_L001	OutputDada2	280103
SNG23SES3DM233_S12_L001	OutputPostprocessing	277875
SNG23SES3DM238_S38_L001	Input	439408
SNG23SES3DM238_S38_L001	No Dimers	344869
SNG23SES3DM238_S38_L001	Amplicons	343499
SNG23SES3DM238_S38_L001	OutputDada2	218883
SNG23SES3DM238_S38_L001	OutputPostprocessing	217531
SNG23SES3DM239_S21_L001	Input	35555
SNG23SES3DM239_S21_L001	No Dimers	1310
SNG23SES3DM239_S21_L001	Amplicons	1069
SNG23SES3DM239_S21_L001	OutputDada2	347
SNG23SES3DM239_S21_L001	OutputPostprocessing	345
SNG23SES3DM247_S13_L001	Input	685
SNG23SES3DM247_S13_L001	No Dimers	471
SNG23SES3DM247_S13_L001	Amplicons	468
SNG23SES3DM247_S13_L001	OutputDada2	300
SNG23SES3DM247_S13_L001	OutputPostprocessing	300
SNG23SES3DM249_S42_L001	Input	359938
SNG23SES3DM249_S42_L001	No Dimers	336060
SNG23SES3DM249_S42_L001	Amplicons	335834
SNG23SES3DM249_S42_L001	OutputDada2	253402
SNG23SES3DM249_S42_L001	OutputPostprocessing	250986
SNG23SES3DM251_S7_L001	Input	348619
SNG23SES3DM251_S7_L001	No Dimers	281628
SNG23SES3DM251_S7_L001	Amplicons	280917
SNG23SES3DM251_S7_L001	OutputDada2	210842
SNG23SES3DM251_S7_L001	OutputPostprocessing	209300
SNG23SES3DM256_S30_L001	Input	201767
SNG23SES3DM256_S30_L001	No Dimers	115459
SNG23SES3DM256_S30_L001	Amplicons	114553
SNG23SES3DM256_S30_L001	OutputDada2	82890
SNG23SES3DM256_S30_L001	OutputPostprocessing	82529
SNG23SES3DM264_S46_L001	Input	687321
SNG23SES3DM264_S46_L001	No Dimers	666559
SNG23SES3DM264_S46_L001	Amplicons	666100
SNG23SES3DM264_S46_L001	OutputDada2	502299
SNG23SES3DM264_S46_L001	OutputPostprocessing	499696
SNG23SES3DM266_S23_L001	Input	155590
SNG23SES3DM266_S23_L001	No Dimers	114374
SNG23SES3DM266_S23_L001	Amplicons	114122
SNG23SES3DM266_S23_L001	OutputDada2	87240
SNG23SES3DM266_S23_L001	OutputPostprocessing	86638
SNG23SES3DM269_S44_L001	Input	837323
SNG23SES3DM269_S44_L001	No Dimers	804342
SNG23SES3DM269_S44_L001	Amplicons	803597
SNG23SES3DM269_S44_L001	OutputDada2	595142
SNG23SES3DM269_S44_L001	OutputPostprocessing	591901
SNG23SES3DM270_S34_L001	Input	333502
SNG23SES3DM270_S34_L001	No Dimers	294874
SNG23SES3DM270_S34_L001	Amplicons	294442
SNG23SES3DM270_S34_L001	OutputDada2	223801
SNG23SES3DM270_S34_L001	OutputPostprocessing	222096
SNG23SES3DM272_S41_L001	Input	254600
SNG23SES3DM272_S41_L001	No Dimers	238828
SNG23SES3DM272_S41_L001	Amplicons	238601
SNG23SES3DM272_S41_L001	OutputDada2	178831
SNG23SES3DM272_S41_L001	OutputPostprocessing	177736
